date,amount,category,merchant,type
2024-01-05,45.50,Groceries,Whole Foods,expense
2024-01-10,2000.00,Salary,Employer,income
2024-01-12,12.99,Dining,Chipotle,expense
2024-01-15,30.00,Transport,Uber,expense
2024-01-18,65.00,Groceries,Trader Joes,expense
2024-01-22,15.50,Dining,Starbucks,expense
2024-02-01,2000.00,Salary,Employer,income
2024-02-05,50.00,Groceries,Safeway,expense
2024-02-08,25.00,Entertainment,AMC,expense
2024-02-12,18.99,Dining,Panera,expense
2024-02-15,40.00,Transport,Lyft,expense
2024-02-20,55.00,Groceries,Whole Foods,expense
2024-03-01,2000.00,Salary,Employer,income
2024-03-05,70.00,Groceries,Trader Joes,expense
2024-03-10,22.50,Dining,Chipotle,expense
2024-03-15,35.00,Entertainment,Netflix,expense
2024-03-18,45.00,Transport,Uber,expense
2024-03-22,60.00,Groceries,Safeway,expense
